"acceptance_id","priority","layer","module","title","requirement_ids","suggested_automation","story_ids","operation_ids","test_files","evidence_refs","execution_class","candidate_status","external_candidate_ref","external_executed_at","external_evidence_refs"
"AT-ORD-001","P0_BLOCKER","E2E","ORDER","即时订单四阶段内提交成功","PL-01; PL-02; SPEC-3.2; SPEC-6.2; SPEC-17.2","E2E_DISCORD","M1-US-03;M23-US-04","createOrder;estimateOrder;getOrder;updateOrder","tests/m1-us-03-api.spec.ts;tests/m1-us-03-db.spec.ts","evidence/P0/M1-US-03/summary.md;evidence/P0/M23-US-04/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-ORD-002","P0_BLOCKER","API","ORDER","余额不足保持草稿且不派单","PL-02; SPEC-6.2; SPEC-12; SPEC-17.2","API_AUTO","M1-US-03;M1-US-07;M23-US-04","createOrder;estimateOrder;getCurrentBalance;getOrder;updateOrder","tests/m1-us-03-api.spec.ts;tests/m1-us-03-db.spec.ts;tests/m1-us-07-bot.spec.ts","evidence/P0/M1-US-03/summary.md;evidence/P0/M1-US-07/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-ORD-003","P0_BLOCKER","API","ORDER","重复提交只创建一次资金预留","PL-02; SPEC-10; SPEC-11.3; SPEC-17.2","API_CONCURRENCY","M1-US-04;M23-US-04","createOrder;getOrder;updateOrder","tests/m1-us-04-bot.spec.ts","evidence/P0/M1-US-04/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-ORD-004","P0_HIGH","E2E","ORDER","已有活跃订单时进入现有频道","SPEC-6.2; SPEC-9; SPEC-18","E2E_DISCORD","M1-US-05;M23-US-04","submitOrder","tests/m1-us-05-api.spec.ts;tests/m1-us-05-db.spec.ts","evidence/P0/M1-US-05/summary.md;evidence/P0/M23-US-04/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-DSP-001","P0_BLOCKER","Unit","SELECTION","报名资格只依赖有效审批、Guild 与需求标签","SPEC-M11; SPEC-17.2; SPEC-18","UNIT_AUTO","M2-US-01;M23-US-04","approvePlayer;setPlayerOperationalStatus;syncDiscordPresence;updatePlayerOperationalTags","tests/m2-us-01-api.spec.ts;tests/m2-us-01-bot.spec.ts;tests/m2-us-01-db.spec.ts","evidence/P0/M2-US-01/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-DSP-002","P0_HIGH","E2E","SELECTION","客户手动终止后保留原预留且不自动续轮","SPEC-M11; SPEC-6.5; SPEC-18","E2E_MANUAL_CONTROLLED","M2-US-02;M23-US-04","applyToOrderSelectionPool;createOrderSelectionPool;getOrder;withdrawOrderSelectionApplication","tests/m2-us-02-api.spec.ts;tests/m2-us-02-bot.spec.ts;tests/m2-us-02-db.spec.ts","evidence/P0/M2-US-02/summary.md;evidence/P0/M23-US-04/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-DSP-003","P0_BLOCKER","API","SELECTION","并发报名可同时进入候选池","SPEC-M11; SPEC-11.3; SPEC-17.2","API_DB_CONCURRENCY","M2-US-02;M23-US-04","applyToOrderSelectionPool;createOrderSelectionPool;getOrder;withdrawOrderSelectionApplication","tests/m2-us-02-api.spec.ts;tests/m2-us-02-bot.spec.ts;tests/m2-us-02-db.spec.ts","evidence/P0/M2-US-02/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-DSP-004","P0_HIGH","API","SELECTION","有活跃订单陪玩可报名但终选时原子校验","SPEC-M11; SPEC-9; SPEC-18","API_AUTO","M2-US-01;M23-US-04","approvePlayer;setPlayerOperationalStatus;syncDiscordPresence;updatePlayerOperationalTags","tests/m2-us-01-api.spec.ts;tests/m2-us-01-bot.spec.ts;tests/m2-us-01-db.spec.ts","evidence/P0/M2-US-01/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-SVC-001","P0_BLOCKER","API","SERVICE","只有当前订单有效陪玩可提交本人就绪","M10-US-04;M19-US-03;READY-02","API_AUTO","M2-US-04;M23-US-04","confirmOrder;requestOrderCompletion;setOrderReadiness","tests/m2-us-04-api.spec.ts;tests/m2-us-04-bot.spec.ts","evidence/P0/M2-US-04/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-SVC-002","P0_BLOCKER","E2E","SERVICE","完成确认原子生成消费收益和返佣","SPEC-6.4; SPEC-6.7; SPEC-17.3","E2E_DISCORD_DB","M2-US-04;M23-US-04","confirmOrder;requestOrderCompletion;setOrderReadiness","tests/m2-us-04-api.spec.ts;tests/m2-us-04-bot.spec.ts","evidence/P0/M2-US-04/summary.md;evidence/P0/M23-US-04/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-SVC-003","P0_HIGH","API","SERVICE","完成确认重复事件不重复结算","SPEC-11.3; SPEC-17.3","API_DB_INTEGRATION","M2-US-04;M23-US-04","confirmOrder;requestOrderCompletion;setOrderReadiness","tests/m2-us-04-api.spec.ts;tests/m2-us-04-bot.spec.ts","evidence/P0/M2-US-04/summary.md;evidence/P0/M23-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-SVC-004","P0_HIGH","E2E","SERVICE","三十分钟未确认只创建客服任务","SPEC-6.4; SPEC-12; SPEC-17.2","E2E_TIME_CONTROLLED","M2-US-04;M23-US-04","confirmOrder;requestOrderCompletion;setOrderReadiness","tests/m2-us-04-api.spec.ts;tests/m2-us-04-bot.spec.ts","evidence/P0/M2-US-04/summary.md;evidence/P0/M23-US-04/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-CAN-001","P0_HIGH","API","CANCELLATION","草稿取消无资金动作","SPEC-6.5; SPEC-8.1","API_AUTO","M2-US-05;M23-US-05","cancelOrder;createOrderStaffTask","tests/m2-us-05-api.spec.ts;tests/m2-us-05-bot.spec.ts;tests/m2-us-05-db.spec.ts","evidence/P0/M2-US-05/summary.md;evidence/P0/M23-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAN-002","P0_BLOCKER","API","CANCELLATION","待派单取消释放预留后结束","PL-02; PL-06; SPEC-6.5; SPEC-17.2","API_DB_TRANSACTION","M2-US-10;M23-US-05","cancelOrder;previewOrderCancellation","tests/m2-us-10-api.spec.ts;tests/m2-us-10-bot.spec.ts;tests/m2-us-10-db.spec.ts","evidence/P0/M2-US-10/summary.md;evidence/P0/M23-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAN-003","P0_BLOCKER","API","CANCELLATION","内部预留释放事务失败时不得提前取消","SPEC-6.5; SPEC-12; SPEC-17.2; M7-SPEC-§8","API_DB_FAULT_INJECTION","M2-US-10;M23-US-05","cancelOrder;previewOrderCancellation","tests/m2-us-10-api.spec.ts;tests/m2-us-10-bot.spec.ts;tests/m2-us-10-db.spec.ts","evidence/P0/M2-US-10/summary.md;evidence/P0/M23-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAN-004","P0_BLOCKER","E2E","CANCELLATION","已接单取消默认转客服","SPEC-3.4; SPEC-6.5; SPEC-6.8","E2E_DISCORD","M2-US-05;M23-US-05","cancelOrder;createOrderStaffTask","tests/m2-us-05-api.spec.ts;tests/m2-us-05-bot.spec.ts;tests/m2-us-05-db.spec.ts","evidence/P0/M2-US-05/summary.md;evidence/P0/M23-US-05/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-CAN-005","P0_HIGH","API","NO_SHOW","有效陪玩十分钟未就绪只创建爽约核对","M10-US-04;M19-US-03;READY-02","API_TIME_CONTROLLED","M2-US-09","createOrderStaffTask;listCurrentUserStaffTasks;setOrderReadiness","tests/m2-us-09-api.spec.ts","evidence/P0/M2-US-09/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAN-006","P0_HIGH","API","NO_SHOW","用户十五分钟未出现只创建核对任务","SPEC-6.5; SPEC-12; SPEC-18","API_AUTO","M2-US-06","reassignOrder;refundOrder;resolveOrder","tests/m2-us-06-api.spec.ts;tests/m2-us-06-db.spec.ts","evidence/P0/M2-US-06/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAN-007","P0_BLOCKER","API","INTERRUPTION","服务中断结案保持原子一致","SPEC-6.5; SPEC-10.4; SPEC-17.2","API_DB_TRANSACTION","M2-US-06;M23-US-05","reassignOrder;refundOrder;resolveOrder","tests/m2-us-06-api.spec.ts;tests/m2-us-06-db.spec.ts","evidence/P0/M2-US-06/summary.md;evidence/P0/M23-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAN-008","P0_BLOCKER","API","CANCELLATION","待确认阶段取消或争议不得自动结案","SPEC-6.4; SPEC-6.5; SPEC-8.1","API_AUTO","M2-US-10;M23-US-05","cancelOrder;previewOrderCancellation","tests/m2-us-10-api.spec.ts;tests/m2-us-10-bot.spec.ts;tests/m2-us-10-db.spec.ts","evidence/P0/M2-US-10/summary.md;evidence/P0/M23-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-CAN-009","P0_BLOCKER","API","CANCELLATION","已完成订单不能倒退为取消","SPEC-6.5; SPEC-8.1; SPEC-17.3","API_AUTO","M2-US-06;M23-US-05","reassignOrder;refundOrder;resolveOrder","tests/m2-us-06-api.spec.ts;tests/m2-us-06-db.spec.ts","evidence/P0/M2-US-06/summary.md;evidence/P0/M23-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-SUP-001","P0_HIGH","API","SUPPORT_TASK","客服任务并发认领只有一人成功","SPEC-6.8; SPEC-11.3; SPEC-12","API_DB_CONCURRENCY","M2-US-05;M23-US-05;M4-US-02","approveApprovalRequest;cancelOrder;claimStaffTask;createOrderStaffTask;getAdminOrder;getApprovalRequest;getDashboardSummary;listApprovalRequests;listStaffTasks;rejectApprovalRequest;verifyStaffTask","tests/m2-us-05-api.spec.ts;tests/m2-us-05-bot.spec.ts;tests/m2-us-05-db.spec.ts;tests/m4-us-02-api.spec.ts;tests/m4-us-02-dashboard.spec.ts","evidence/P0/M2-US-05/summary.md;evidence/P0/M23-US-05/summary.md;evidence/P0/M4-US-02/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-SUP-002","P0_HIGH","UAT","SUPPORT_TASK","客服可以接管自动流程但受权限限制","SPEC-3.7; SPEC-5.6; SPEC-6.8","UAT_MANUAL","M2-US-11;M23-US-05","createOrderStaffTask;getStaffTask;pauseOrderAutomation;reassignOrder;resolveStaffTask;resumeOrderAutomation","tests/m2-us-11-api.spec.ts;tests/m2-us-11-bot.spec.ts;tests/m2-us-11-dashboard.spec.ts;tests/m2-us-11-db.spec.ts;tests/m2-us-11-worker.spec.ts","evidence/P0/M2-US-11/summary.md;evidence/P0/M23-US-05/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-SUP-003","P0_BLOCKER","API","SUPPORT_TASK","非法结案金额不产生部分写入","SPEC-12; SPEC-17.2","API_DB_TRANSACTION","M2-US-06;M23-US-05","reassignOrder;refundOrder;resolveOrder","tests/m2-us-06-api.spec.ts;tests/m2-us-06-db.spec.ts","evidence/P0/M2-US-06/summary.md;evidence/P0/M23-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-SUP-004","P0_HIGH","UAT","SUPPORT_TASK","草稿下单默认自动但可主动请求客服","SPEC-3.7; SPEC-6.2; SPEC-6.8","UAT_MANUAL","M2-US-05","cancelOrder;createOrderStaffTask","tests/m2-us-05-api.spec.ts;tests/m2-us-05-bot.spec.ts;tests/m2-us-05-db.spec.ts","evidence/P0/M2-US-05/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-GFT-001","P0_BLOCKER","E2E","GIFT","所有礼物先预留再人工核对且接收人受订单约束","BASELINE-FUNDS; BASELINE-GIFT; SPEC-6.6; SPEC-17.3; M10-US-05","E2E_DISCORD_API","M22-US-06;M3-US-01","createOrderGiftRequest;getCurrentBalance;listGifts","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-01-api.spec.ts;tests/m3-us-01-bot.spec.ts;tests/m3-us-01-db.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-01/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-GFT-002","P0_BLOCKER","API","GIFT_RBAC","L1 核对后仍不能批准或拒绝","SPEC-5.2; SPEC-5.3; SPEC-6.6","API_RBAC","M22-US-06;M3-US-02","approveGiftRequest;claimStaffTask;rejectGiftRequest;verifyStaffTask","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-02-api.spec.ts;tests/m3-us-02-dashboard.spec.ts;tests/m3-us-02-db.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-02/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-003","P0_BLOCKER","API","GIFT_RBAC","L2 可批准 199900 CAT subunits 礼物","BASELINE-FUNDS; SPEC-5.3; SPEC-6.6; SPEC-14.2","API_BOUNDARY","M22-US-06;M3-US-01","createOrderGiftRequest;getCurrentBalance;listGifts","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-01-api.spec.ts;tests/m3-us-01-bot.spec.ts;tests/m3-us-01-db.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-01/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-004","P0_BLOCKER","API","GIFT_RBAC","L2 可批准 200000 CAT subunits 礼物","BASELINE-FUNDS; SPEC-5.3; SPEC-5.4; SPEC-18","API_BOUNDARY","M22-US-06;M3-US-02","approveGiftRequest;claimStaffTask;rejectGiftRequest;verifyStaffTask","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-02-api.spec.ts;tests/m3-us-02-dashboard.spec.ts;tests/m3-us-02-db.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-02/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-005","P0_BLOCKER","API","GIFT_RBAC","200100 CAT subunits 礼物升级 L3","SPEC-5.3; SPEC-5.4; SPEC-10.6","API_BOUNDARY","M22-US-06;M3-US-02;M4-US-04","approveGiftRequest;beginStepUp;claimStaffTask;completeStepUp;enrollMfa;getCurrentStaffCapabilities;rejectGiftRequest;verifyMfaEnrollment;verifyStaffTask","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-02-api.spec.ts;tests/m3-us-02-dashboard.spec.ts;tests/m3-us-02-db.spec.ts;tests/m4-us-04-api.spec.ts;tests/m4-us-04-db.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-02/summary.md;evidence/P0/M4-US-04/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-006","P0_BLOCKER","API","GIFT_RBAC","500000 CAT subunits 礼物仅 L4 可直接执行","SPEC-5.4; SPEC-10.5; SPEC-17.4","API_APPROVAL_FLOW","M22-US-06;M3-US-03","approveGiftRequest;retryJob","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-03-api.spec.ts;tests/m3-us-03-worker.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-03/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-007","P0_BLOCKER","API","APPROVAL","同一 L4 可发起并执行高额礼物","SPEC-5.4; SPEC-9; SPEC-17.4","API_RBAC","M22-US-06;M3-US-03","approveGiftRequest;retryJob","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-03-api.spec.ts;tests/m3-us-03-worker.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-03/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-008","P0_HIGH","API","GIFT","审批期间余额下降会阻止扣款","SPEC-6.6; SPEC-12; SPEC-17.3; M7-SPEC-§8","API_WALLET_INTEGRATION","M22-US-06;M3-US-03","approveGiftRequest;retryJob","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-03-api.spec.ts;tests/m3-us-03-worker.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-03/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-009","P0_BLOCKER","API","IDEMPOTENCY","礼物重复批准最多扣款一次","SPEC-11.3; SPEC-17.3","API_DB_CONCURRENCY","M22-US-06;M3-US-03","approveGiftRequest;retryJob","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-03-api.spec.ts;tests/m3-us-03-worker.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-03/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-GFT-010","P0_BLOCKER","E2E","GIFT","播报失败只重试播报不重复扣款","SPEC-6.6; SPEC-11.3; SPEC-12; SPEC-17.3","E2E_DISCORD_FAULT","M22-US-06;M3-US-03","approveGiftRequest;retryJob","tests/m22-us-06-gift-assist-boundaries.spec.ts;tests/m22-us-06-gift-automation-gate.spec.ts;tests/m22-us-06-gift-bot-adapter.spec.ts;tests/m22-us-06-gift-entry-postgres.spec.ts;tests/m22-us-06-gift-fixture-contract.spec.ts;tests/m22-us-06-gift-lifecycle-postgres.spec.ts;tests/m22-us-06-gift-privacy-worker.spec.ts;tests/m3-us-03-api.spec.ts;tests/m3-us-03-worker.spec.ts","evidence/P0/M22-US-06/summary.md;evidence/P0/M3-US-03/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
"AT-HIS-001","P0_HIGH","API","CONSUMPTION","消费历史合并订单和礼物并分页","SPEC-10.2; SPEC-17.3","API_AUTO","M23-US-06;M3-US-05","listCurrentUserCommissions;listCurrentUserConsumptions;updateCommission","tests/m3-us-05-api.spec.ts;tests/m3-us-05-commissions-api.spec.ts;tests/m3-us-05-db.spec.ts","evidence/P0/M23-US-06/summary.md;evidence/P0/M3-US-05/summary.md","AUTOMATED","COVERED_BY_REGRESSION","","",""
"AT-HIS-002","P0_BLOCKER","E2E","CONSUMPTION","余额消费返佣仅私密展示且不可跨用户查询","SPEC-5; SPEC-10.1; SPEC-17.1","E2E_SECURITY","M23-US-06;M4-US-08","getAdminOrder","tests/m4-us-08-api.spec.ts;tests/m4-us-08-dashboard.spec.ts;tests/m4-us-08-db.spec.ts","evidence/P0/M23-US-06/summary.md;evidence/P0/M4-US-08/summary.md","EXTERNAL_E2E","PENDING_EXTERNAL","","",""
