"文案ID","版本","端","场景","组件","中文文案","显示条件","OpenAPI operationId","需求ID","门禁ID","备注","实现状态"
"COPY-D-023","0.7","Discord","已接单","状态说明","正式陪玩已确认。客户可查看逐名准备进度；所有当前有效陪玩都就绪后系统才开始计时。","ACCEPTED","—","REQ-P0-MATCH-01;REQ-P0-READY-01","GATE-P0-03;GATE-P0-05","—","计划开发"
"COPY-D-024","1.5","Discord","服务中","状态说明","所有当前有效陪玩均已就绪，系统已开始计时。订单预留将在完成时捕获。","IN_SERVICE","—","REQ-P0-READY-01;REQ-P0-FUNDS-01","GATE-P0-05;GATE-P0-02","客户无 readiness 动作","现行合同"
"COPY-D-025","0.7","Discord","待确认","状态说明","陪玩已申请完成，请核对服务后确认；确认后捕获订单预留，30 分钟未处理将转客服。","PENDING_CONFIRMATION","—","REQ-P0-FUNDS-01;REQ-P0-SUPPORT-01","GATE-P0-02","—","计划开发"
"COPY-D-026","0.7","Discord","已完成","状态说明","订单预留已捕获，消费、陪玩收益和符合条件的受益收益已记录。","COMPLETED","—","REQ-P0-FUNDS-01;REQ-P0-REFERRAL-01","GATE-P0-02","不向来源用户暴露受益信息","计划开发"
"COPY-D-027","0.7","Discord","已取消","状态说明","订单已取消，预留已释放。原资金事实不会删除，结果保留在时间线。","CANCELLED","—","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","—","计划开发"
"COPY-D-028","0.7","Discord","异常","状态说明","自动流程已暂停，客服正在核对；有效预留保持，请勿重复提交。","EXCEPTION","—","REQ-P0-AUTOMATION-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-030","0.7","Discord","订单确认","字段标签","内部账本余额","确认摘要和订单面板","—","REQ-P0-FUNDS-01","GATE-P0-02","ledgerBalanceMinor","计划开发"
"COPY-D-031","0.7","Discord","订单确认","字段标签","预留金额","确认摘要和订单面板","—","REQ-P0-FUNDS-01","GATE-P0-02","reservedMinor","计划开发"
"COPY-D-032","0.7","Discord","订单确认","字段标签","可用余额","确认摘要和订单面板","—","REQ-P0-FUNDS-01","GATE-P0-02","availableMinor = ledgerBalanceMinor - reservedMinor","计划开发"
"COPY-D-033","0.7","Discord","订单确认","字段标签","提交后可用余额","提交前","—","REQ-P0-FUNDS-01","GATE-P0-02","由 API 返回预览","计划开发"
"COPY-D-034","0.7","Discord","订单确认","字段标签","结构化需求标签","DRAFT","—","REQ-P0-ORDER-01","GATE-P0-01","标签参与资格匹配","计划开发"
"COPY-D-035","1.5","Discord","订单确认","范围提示","P0 不提供下单前浏览、优先名单或强指定；客户只在本单有效报名候选中终选正式陪玩。","结构化标签","—","REQ-P0-SCOPE-01;SEL-01","GATE-P0-03","候选池终选不等于公开目录或指定陪玩","现行合同"
"COPY-D-036","0.7","Discord","订单确认","范围提示","尽快开始（即时单）","所有订单","—","REQ-P0-SCOPE-01","—","不出现预约入口","计划开发"
"COPY-D-037","1.5","Discord","订单确认","资金提示","确认提交将创建订单预留；订单完成时捕获。候选池无自然截止，只有客户取消、合法拒绝或明确失败才释放订单预留。","余额充足","—","REQ-P0-FUNDS-01;SEL-01","GATE-P0-02","终止招募与时间流逝均保持原预留","现行合同"
"COPY-D-039","1.5","Discord","需求备注 Modal","字段标签","补充备注（可选）","订单 DRAFT","updateOrderDraft","REQ-P0-ORDER-01;ORD-04","GATE-P0-01;AT-MULTI-011","整单需求单字段；Discord 原生提交/取消","本地候选"
"COPY-D-040","0.7","Discord","订单面板","按钮","加载服务","订单 DRAFT","listServiceCatalog","REQ-P0-ORDER-01","GATE-P0-01","消息 String Select；最多 25 项","计划开发"
"COPY-D-041","1.5","Discord","第二步游戏菜单","按钮","填写需求备注","订单 DRAFT 且已选游戏","updateOrderDraft","REQ-P0-ORDER-01;ORD-04","GATE-P0-01;AT-MULTI-011","打开单字段 Modal；已有内容时显示修改需求备注","本地候选"
"COPY-D-042","0.7","Discord","订单面板","按钮","查看完整确认","字段完整","estimateOrder","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01;GATE-P0-02","私密消息确认","计划开发"
"COPY-D-043","0.7","Discord","订单面板","按钮","确认提交并预留","DRAFT 且 availableMinor 足够","submitOrder","REQ-P0-FUNDS-01","GATE-P0-02","私密消息按钮","计划开发"
"COPY-D-044","0.7","Discord","订单提交","按钮","查询提交结果","提交超时或结果未知","getOrder","REQ-P0-FUNDS-01;REQ-P0-SUPPORT-01","GATE-P0-02","复用原幂等键","计划开发"
"COPY-D-045","0.7","Discord","订单面板","按钮","刷新订单","订单参与者","getOrder","REQ-P0-MATCH-01;REQ-P0-READY-01","GATE-P0-03;GATE-P0-05","—","计划开发"
"COPY-D-046","0.7","Discord","订单面板","按钮","进入订单频道","订单参与者且频道已授权","getOrder","REQ-P0-MATCH-01;REQ-P0-PLAYER-02","GATE-P0-03;GATE-P0-04","—","计划开发"
"COPY-D-047","0.7","Discord","陪玩就绪","按钮","我已准备好","订单 ACCEPTED；仅当前有效陪玩","setOrderReadiness","REQ-P0-READY-01","GATE-P0-05","只更新当前陪玩本人；客户无此按钮","计划开发"
"COPY-D-048","0.7","Discord","陪玩就绪","按钮","刷新准备进度","订单 ACCEPTED 或 IN_SERVICE","getOrder","REQ-P0-READY-01","GATE-P0-05","客户只读逐名状态","计划开发"
"COPY-D-049","0.7","Discord","取消影响","按钮","刷新影响","取消前","previewOrderCancellation","REQ-P0-CANCEL-01","GATE-P0-06","预览不执行资金动作","计划开发"
"COPY-D-050","0.7","Discord","取消影响","按钮","确认取消","最新预览允许自动取消","cancelOrder","REQ-P0-CANCEL-01;REQ-P0-FUNDS-01","GATE-P0-06;GATE-P0-02","释放成功后才显示已取消","计划开发"
"COPY-D-051","0.7","Discord","取消影响","按钮","申请客服处理","不能自动取消或用户主动求助","createOrderStaffTask","REQ-P0-CANCEL-01;REQ-P0-SUPPORT-01","GATE-P0-06","—","计划开发"
"COPY-D-052","0.7","Discord","订单完成","按钮","申请完成","陪玩且订单 IN_SERVICE","requestOrderCompletion","REQ-P0-PLAYER-02","GATE-P0-04","不捕获订单预留","计划开发"
"COPY-D-053","0.7","Discord","订单完成","按钮","确认完成并捕获","用户且订单 PENDING_CONFIRMATION","confirmOrderCompletion","REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-060","0.7","Discord","陪玩工作台","标题","陪玩工作台","PlayerProfile 已绑定","getPlayerWorkbench","REQ-P0-PLAYER-01","GATE-P0-04","独立私密界面","计划开发"
"COPY-D-061","0.7","Discord","陪玩资格","字段标签","不符合原因","陪玩不满足候选资格","—","REQ-P0-PLAYER-01","GATE-P0-04","返回本人可理解原因和下一步","计划开发"
"COPY-D-062","1.5","Discord","陪玩资格","说明","报名资格由客服审核状态、Guild 与需求标签控制；陪玩端没有在线或接单开关。","PlayerProfile 已绑定","—","REQ-P0-PLAYER-01;SEL-01","GATE-P0-04","Presence 与 legacy availability 仅供诊断，不影响报名","已实现"
"COPY-D-063","1.5","Discord","陪玩工作台","按钮","查看可报名候选池","ACTIVE 且 Guild/标签匹配","getPlayerWorkbench","REQ-P0-PLAYER-01;SEL-01","GATE-P0-04","由 API 返回可见候选池","已实现"
"COPY-D-064","1.5","Discord","陪玩工作台","按钮","查看可报名候选池","有可见候选池","getPlayerWorkbench","REQ-P0-PLAYER-02;SEL-01","GATE-P0-04","—","已实现"
"COPY-D-065","1.5","Discord","候选池","按钮","查看完整要求","候选池对本人可见","getPlayerWorkbench","REQ-P0-PLAYER-02;SEL-01","GATE-P0-04","客户敏感信息脱敏","已实现"
"COPY-D-066","1.5","Discord","候选池","按钮","撤回报名","本人已报名且候选池仍为 COLLECTING","withdrawOrderSelectionApplication","REQ-P0-PLAYER-02;SEL-01","GATE-P0-04","候选池无自然截止；只追加本人撤回事实","已实现"
"COPY-D-067","1.5","Discord","候选池","按钮","报名该订单","客服审核 ACTIVE 且 Guild/标签匹配","applyToOrderSelectionPool","REQ-P0-PLAYER-02;REQ-P0-MATCH-01;SEL-01","GATE-P0-04;GATE-P0-03","报名不创建正式参与人，由客户终选","已实现"
"COPY-D-068","1.5","Discord","报名确认","提示","报名不开始计时；入选后仍需按订单状态完成就绪。","报名后","—","REQ-P0-READY-01;SEL-01","GATE-P0-05","—","已实现"
"COPY-D-069","0.7","Discord","陪玩工作台","按钮","查看当前订单","存在活跃订单","getPlayerWorkbench","REQ-P0-PLAYER-01","GATE-P0-04","—","计划开发"
"COPY-D-070","0.7","Discord","陪玩支持","按钮","联系陪玩支持","资格、计时或订单异常","createOrderStaffTask","REQ-P0-PLAYER-01;REQ-P0-SUPPORT-01","GATE-P0-04","—","计划开发"
"COPY-D-071","0.7","Discord","陪玩支持","按钮","查看支持进度","存在本人支持任务","listCurrentUserStaffTasks","REQ-P0-PLAYER-01;REQ-P0-SUPPORT-01","GATE-P0-04","不显示内部备注","计划开发"
"COPY-D-072","0.7","Discord","陪玩收益","按钮","收益明细","已绑定 PlayerProfile","listCurrentPlayerEarnings","REQ-P0-PLAYER-01","GATE-P0-04","不提供自动提现","计划开发"
"COPY-D-073","0.7","Discord","陪玩收益","按钮","刷新收益摘要","存在当前订单","getPlayerWorkbench","REQ-P0-PLAYER-01","GATE-P0-04","预计收益不是已结算","计划开发"
"COPY-D-080","0.7","Discord","送礼申请","标题","赠送礼物","订单允许送礼","listGiftCatalog","REQ-P0-GIFT-01","—","—","计划开发"
"COPY-D-081","0.7","Discord","送礼申请","确认提示","确认请求会立即预留礼物金额；批准时捕获，拒绝、过期或撤回后释放。","提交前","—","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-082","0.7","Discord","送礼申请","按钮","确认请求并预留","礼物启用且 availableMinor 足够","createGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-083","0.7","Discord","送礼申请","按钮","撤回并释放预留","礼物未捕获且可撤回","cancelGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-084","0.8","Discord","送礼余额不足","错误","余额不足，还差 {shortfall}。请联系客服充值后刷新余额。","礼物金额大于 availableMinor","—","REQ-P0-GIFT-01","—","禁用确认","计划开发"
"COPY-D-085","0.8","Discord","送礼余额不足","按钮","联系客服充值","客服入口可用","getCurrentBalance","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","—","不链接支付渠道","计划开发"
"COPY-D-086","0.7","Discord","送礼审核","按钮","认领任务","任务 OPEN","claimStaffTask","REQ-P0-SUPPORT-01","—","—","计划开发"
"COPY-D-087","0.7","Discord","送礼审核","按钮","进入订单频道","任务 scope 有效","getAdminOrder","REQ-P0-SUPPORT-01","—","写审计","计划开发"
"COPY-D-088","0.7","Discord","送礼审核","按钮","加入语音","语音频道存在","getStaffTask","REQ-P0-SUPPORT-01","—","写审计","计划开发"
"COPY-D-089","0.7","Discord","送礼审核","按钮","私聊用户","联系方式可用","getStaffTask","REQ-P0-SUPPORT-01","—","写审计","计划开发"
"COPY-D-090","0.7","Discord","送礼审核","按钮","已核对，提交审批","任务已认领且记录完整","verifyStaffTask","REQ-P0-GIFT-01;REQ-P0-RBAC-01","—","—","计划开发"
"COPY-D-091","0.7","Discord","送礼审批","按钮","批准并捕获预留","权限、金额、状态和预留有效","approveGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","每个请求最多捕获一次","计划开发"
"COPY-D-092","0.7","Discord","送礼审批","按钮","拒绝并释放预留","礼物未捕获","rejectGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-093","0.7","Discord","送礼审批","按钮","提交审批","当前角色具备礼物批准权限，但金额超出当前级别","approveGiftRequest","REQ-P0-RBAC-01","—","由礼物业务 API 显示审批编号和 required_level；L1 只显示客服任务核对/建议动作","计划开发"
"COPY-D-100","0.8","Discord","服务中心","按钮","刷新余额","内部钱包已自动建立","getMyBalance","REQ-P0-FUNDS-01","GATE-P0-02","展示三项 CAT 余额和 calculatedAt","计划开发"
"COPY-D-101","0.7","Discord","服务中心","按钮","消费记录","已绑定","listMyConsumptions","REQ-P0-AUDIT-01","—","包含捕获、释放、退款和 Adjustment","计划开发"
"COPY-D-102","0.7","Discord","服务中心","按钮","我的收益","当前用户是受益人","listMyCommissions","REQ-P0-PRIVACY-01;REQ-P0-REFERRAL-01","—","不显示出向推荐关系","计划开发"
"COPY-D-103","0.7","Discord","服务中心","按钮","刷新处理进度","存在本人客服任务","listCurrentUserStaffTasks","REQ-P0-SUPPORT-01","—","不显示内部备注","计划开发"
"COPY-D-104","0.7","Discord","通用错误","按钮","安全重试","服务端声明可重试","local","REQ-P0-SUPPORT-01;REQ-P0-FUNDS-01","GATE-P0-02","复用原 idempotencyKey","计划开发"
"COPY-A-001","0.7","Dashboard","顶部栏","环境标识","PROTOTYPE","所有页面","—","REQ-P0-SCOPE-01","—","文档原型，不代表已实现","计划开发"
"COPY-A-002","0.7","Dashboard","工作台","范围","我的任务","L1_SUPPORT","—","REQ-P0-RBAC-01","—","参与者脱敏；收益隐藏","计划开发"
"COPY-A-003","0.7","Dashboard","工作台","范围","团队任务","L2_SUPERVISOR","—","REQ-P0-RBAC-01","—","收益仅任务级有限查看","计划开发"
"COPY-A-004","0.7","Dashboard","工作台","范围","全部业务","L3_OPERATIONS","—","REQ-P0-RBAC-01","—","可管理两类计划","计划开发"
"COPY-A-005","0.7","Dashboard","工作台","范围","全系统","L4_ADMIN_OWNER","—","REQ-P0-RBAC-01","—","敏感动作需要 step-up","计划开发"
"COPY-A-010","0.7","Dashboard","运营指标","标签","今日订单","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-011","0.7","Dashboard","运营指标","标签","进行中订单","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-012","0.7","Dashboard","运营指标","标签","待处理任务","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-013","0.7","Dashboard","运营指标","标签","已完成净消费","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-014","0.7","Dashboard","运营指标","标签","礼物净消费","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-015","0.7","Dashboard","运营指标","标签","预留总额","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-016","0.7","Dashboard","运营指标","标签","派单成功率","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-017","0.7","Dashboard","运营指标","标签","异常数","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-020","0.7","Dashboard","任务队列","按钮","刷新任务","后台会话有效","listStaffTasks","REQ-P0-SUPPORT-01","—","按 level scope 返回","计划开发"
"COPY-A-021","0.7","Dashboard","任务详情","按钮","查看任务","具备任务 scope","getStaffTask","REQ-P0-SUPPORT-01","—","—","计划开发"
"COPY-A-022","0.7","Dashboard","任务详情","按钮","接管处理","已认领或主管接管","claimStaffTask","REQ-P0-AUTOMATION-01","—","写审计","计划开发"
"COPY-A-023","0.7","Dashboard","任务或订单","按钮","暂停自动流程","关键阶段允许暂停","pauseOrderAutomation","REQ-P0-AUTOMATION-01","—","保持订单和预留事实","计划开发"
"COPY-A-024","0.7","Dashboard","任务或订单","按钮","恢复自动流程","阻塞条件已解除","resumeOrderAutomation","REQ-P0-AUTOMATION-01","—","按最新版本恢复","计划开发"
"COPY-A-025","0.7","Dashboard","订单详情","按钮","客服接管","关键阶段允许接管","pauseOrderAutomation","REQ-P0-AUTOMATION-01","—","不覆盖订单事实","计划开发"
"COPY-A-026","0.7","Dashboard","订单详情","按钮","刷新订单","具备订单 scope","getAdminOrder","REQ-P0-AUDIT-01","GATE-P0-02","返回完整业务和资金时间线","计划开发"
"COPY-A-027","0.7","Dashboard","订单详情","按钮","人工转派","L2+；L1 提交审批","reassignOrder","REQ-P0-AUTOMATION-01","—","目标必须符合资格","计划开发"
"COPY-A-028","0.7","Dashboard","订单详情","按钮","异常结案","L2+ 且金额合规","resolveOrder","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","可部分捕获并释放剩余","计划开发"
"COPY-A-029","0.7","Dashboard","订单详情","按钮","退款","存在已捕获金额","refundOrder","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","追加事实，不覆盖原记录","计划开发"
"COPY-A-030","0.7","Dashboard","用户详情","按钮","查看消费","具备用户 scope","listAdminUserConsumptions","REQ-P0-PRIVACY-01;REQ-P0-AUDIT-01","—","不返回推荐来源","计划开发"
"COPY-A-031","0.7","Dashboard","用户详情","按钮","添加风险标记","L2+","createUserRiskFlag","REQ-P0-RBAC-01","—","不自动暂停","计划开发"
"COPY-A-032","0.7","Dashboard","用户详情","按钮","暂停账户","L3+；较低级别提交审批","setUserOperationalStatus","REQ-P0-RBAC-01","—","—","计划开发"
"COPY-A-033","0.7","Dashboard","陪玩详情","按钮","编辑运营标签","L2+","updatePlayerOperationalTags","REQ-P0-PLAYER-01","GATE-P0-04","—","计划开发"
"COPY-A-034","1.5","Dashboard","陪玩详情","按钮","暂停业务资格","L3+；较低级别提交审批","setPlayerOperationalStatus","REQ-P0-PLAYER-01;SEL-01","GATE-P0-04","设置 PAUSED 后禁止新候选池报名；不是 Presence/availability 开关","现行合同"
"COPY-A-035","0.7","Dashboard","陪玩详情","按钮","审核通过","L3+","approvePlayer","REQ-P0-PLAYER-01","GATE-P0-04","—","计划开发"
"COPY-A-040","0.7","Dashboard","服务目录","按钮","新建服务版本","L3+","createServiceCatalogVersion","REQ-P0-CATALOG-01","—","—","计划开发"
"COPY-A-041","0.7","Dashboard","服务目录","按钮","创建新版本或上下架","L3+","updateServiceCatalogVersion","REQ-P0-CATALOG-01","—","不覆盖历史快照","计划开发"
"COPY-A-050","0.7","Dashboard","礼物审批","按钮","批准并捕获","预留有效且权限足够","approveGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","不人工计算余额","计划开发"
"COPY-A-051","0.7","Dashboard","播报失败","按钮","重试播报","礼物 CAPTURED 且 Outbox FAILED","retryOutboxJob","REQ-P0-GIFT-01;REQ-P0-SUPPORT-01","—","只重试消息","计划开发"
"COPY-A-060","0.7","Dashboard","收益计划","机密提示","被推荐用户永远不能获知受益人、关系类型、比例、金额或状态。","所有员工视图","—","REQ-P0-PRIVACY-01;REQ-P0-REFERRAL-01","—","用户 API、Discord、错误、导出和通知均适用","计划开发"
"COPY-A-061","0.7","Dashboard","收益计划","标题","PROMOTER_FIRST_PURCHASE","L3/L4","—","REQ-P0-REFERRAL-01","—","老板带新；结算一次后永久结束","计划开发"
"COPY-A-062","0.7","Dashboard","收益计划","标题","PLAYER_LIFETIME","L3/L4","—","REQ-P0-REFERRAL-01","—","陪玩来源的长期符合条件净消费收益","计划开发"
"COPY-A-063","0.7","Dashboard","收益计划","按钮","绑定老板带新","L3+ 且资格通过","createReferralAttribution","REQ-P0-REFERRAL-01","—","两个计划互斥","计划开发"
"COPY-A-064","0.7","Dashboard","收益计划","按钮","绑定陪玩来源","L3+ 且资格通过","createReferralAttribution","REQ-P0-REFERRAL-01","—","两个计划互斥","计划开发"
"COPY-A-070","0.8","Dashboard","客户钱包","标题","客户 CAT 钱包","具备 wallet.read","listAdminWalletEntries","REQ-P0-FUNDS-01","GATE-P0-02","内部金额统一显示 CAT","计划开发"
"COPY-A-071","0.8","Dashboard","客户钱包","按钮","人工充值","具备 wallet.top_up 且近期 step-up 有效","createAdminTopUp","REQ-P0-FUNDS-01","GATE-P0-02","L1 不可执行；L2+ 按 USD cents receipt 固定发放 CAT","计划开发"
"COPY-A-072","0.8","Dashboard","人工充值","字段提示","必填：渠道、外部交易号、付款时间、金额、备注。","打开充值表单","—","REQ-P0-FUNDS-01","—","图片/PDF 凭证可选","计划开发"
"COPY-A-073","0.8","Dashboard","人工充值","确认文案","确认后将立即向客户钱包增加 {amount} CAT。","提交预览","createAdminTopUp","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","付款证据金额单独显示 USD cents；不可撤回编辑；纠错追加调整","计划开发"
"COPY-A-074","0.8","Dashboard","渠道退款扣款","按钮","登记渠道退款","具备 wallet.external_refund","createAdminExternalRefundDebit","REQ-P0-FUNDS-01","GATE-P0-02","只登记已在线下渠道完成的退款","计划开发"
"COPY-A-075","0.8","Dashboard","渠道退款扣款","错误","可用余额不足，不能登记该渠道退款。","amountMinor 大于 availableMinor","—","REQ-P0-FUNDS-01","GATE-P0-02","系统内余额不得变为负数","计划开发"
"COPY-A-076","0.8","Dashboard","凭证附件","提示","可选上传图片或 PDF；文件将按私有凭证保存。","充值或渠道退款已创建","createReceiptAttachment","REQ-P0-AUDIT-01","—","不公开对象地址","计划开发"
"COPY-A-065","0.7","Dashboard","收益计划","按钮","管理老板带新计划","L3+","updatePolicySetting","REQ-P0-REFERRAL-01","—","配置版本化","计划开发"
"COPY-A-066","0.7","Dashboard","收益计划","按钮","管理陪玩长期计划","L3+","updatePolicySetting","REQ-P0-REFERRAL-01","—","配置版本化","计划开发"
"COPY-A-067","0.7","Dashboard","收益事实","按钮","刷新明细","L3+","listAdminCommissions","REQ-P0-REFERRAL-01;REQ-P0-PRIVACY-01","—","L2 仅任务级有限视图","计划开发"
"COPY-A-068","0.7","Dashboard","收益事实","按钮","确认或标记发放","L3+","updateCommission","REQ-P0-REFERRAL-01","—","追加状态事件","计划开发"
"COPY-A-069","0.7","Dashboard","收益事实","按钮","查看调整","L3+","getCommissionConfidential","REQ-P0-REFERRAL-01;REQ-P0-AUDIT-01","—","Adjustment 金额为非负绝对值","计划开发"
"COPY-A-070","0.7","Dashboard","审批","按钮","提交升级处理","超当前级别","对应业务写接口","REQ-P0-RBAC-01","—","通用审批队列不创建或修改请求","计划开发"
"COPY-A-071","0.7","Dashboard","审批","按钮","批准并执行","当前等级达到 required_level；允许同一人发起并执行","approveApprovalRequest","REQ-P0-RBAC-01","—","对象版本变化时失效","计划开发"
"COPY-A-072","0.7","Dashboard","审批","按钮","拒绝","达到 required_level","rejectApprovalRequest","REQ-P0-RBAC-01","—","—","计划开发"
"COPY-A-080","0.7","Dashboard","权限管理","按钮","修改 Role 映射","L4 + step-up","updateDiscordRoleMapping","REQ-P0-RBAC-01","—","内部审批结果是上限","计划开发"
"COPY-A-081","0.7","Dashboard","权限管理","按钮","确认升级","L4 且待确认 L3/L4","approveStaffRoleElevation","REQ-P0-RBAC-01","—","升权目标账号不能确认自身升级","计划开发"
"COPY-A-082","0.7","Dashboard","权限管理","按钮","调整级别","L4","updateStaffRole","REQ-P0-RBAC-01","—","立即撤销超出权限","计划开发"
"COPY-A-083","0.7","Dashboard","权限管理","按钮","撤销会话","L4","revokeStaffSessions","REQ-P0-RBAC-01","—","—","计划开发"
"COPY-S-001","0.7","Dashboard","通用状态","加载","正在加载","请求进行中","—","REQ-P0-SCOPE-01","—","使用稳定骨架","计划开发"
"COPY-S-002","0.7","Dashboard","通用状态","空数据","当前筛选下没有结果。","列表结果为空","—","REQ-P0-SCOPE-01","—","提供清除筛选","计划开发"
"COPY-S-003","0.7","Dashboard","通用状态","错误","暂时无法加载；安全重试会复用原幂等键。","安全可重试错误","local","REQ-P0-SUPPORT-01","—","附 request_id","计划开发"
"COPY-S-004","0.7","Dashboard","通用状态","无权限","无权访问此内容。","403","—","REQ-P0-RBAC-01","—","不泄露对象","计划开发"
"COPY-D-090","0.9","Discord","我的钱包","标题","我的猫条钱包","打开客户钱包","getMyServiceCenter","M9-SPEC-§3","—","名称固定为猫条","已实现"
"COPY-D-091","0.9","Discord","客户金额","金额","1,000.0 CAT","canonical CAT amountMinor=10000","—","M9-SPEC-§3","—","符号固定 CAT；充值付款回执之外不附 USD","已实现"
"COPY-A-090","0.9","Dashboard","客户钱包","说明","录入 USD cents 后按 1 USD cent = 1 CAT subunit 到账。","员工查看充值表单","createAdminTopUp","M9-SPEC-§3;§5","—","付款依据显示 USD，钱包结果显示 CAT","已实现"
"COPY-S-090","0.9","Bot","启动校验","错误","钱包展示已固定为猫条 / CAT，不支持旧名称、符号或比例配置。","显式提供旧展示配置","—","M9-SPEC-§3","—","登录前失败，不接受第二展示单位","已实现"
"COPY-A-084","2.0","Dashboard","权限管理","按钮","立即从 Discord 对账","每个同 Guild 员工账号；L4 + step-up","reconcileStaffDiscordRole","REQ-P0-RBAC-01","AT-DOP-007","创建持久化单员工对账任务","已实现"
"COPY-A-085","2.0","Dashboard","权限管理","状态字段","最近同步 / 当前观察 Role / 处理结果 / 上次同步错误","员工账号卡片","listAdminStaffAccounts","REQ-P0-RBAC-01","AT-DOP-007","无数据时明确显示尚未同步或无","已实现"
