"交互ID","版本","端","组件/位置","触发者","前置状态","API operationId","OpenAPI状态","成功状态","失败反馈","最低权限","需求ID","门禁ID","实现状态"
"INT-D-018","0.7","Discord","订单面板/用户确认完成","用户","订单 PENDING_CONFIRMATION","confirmOrderCompletion","OpenAPI v1.0 现行合同","原子捕获订单预留并进入 COMPLETED；生成消费、陪玩收益及符合条件的受益收益","CONFLICT：刷新；捕获未知时进入 EXCEPTION 并创建任务；陪玩点击时私密说明该按钮仅供本单客人使用","订单所有者","REQ-P0-FUNDS-01;REQ-P0-READY-01","GATE-P0-02;GATE-P0-05","计划开发"
"INT-D-019","1.5","Discord","陪玩工作台/加载摘要","陪玩","已绑定 PlayerProfile","getPlayerWorkbench","M11-US-01","返回资格原因、可报名候选池、本人报名、正式订单、计时、支持和收益摘要；Presence 仅为可选诊断","非陪玩不返回资料；错误附 request_id","陪玩","REQ-P0-PLAYER-01;SEL-01","GATE-P0-04","计划开发"
"INT-D-020","1.5","Discord","陪玩工作台/接单状态退役","陪玩","已绑定 PlayerProfile","—","M11-US-01","不展示也不保存 AVAILABLE/BUSY 或在线接单开关；报名资格由 API 按审批、Guild 和标签判断","旧控件或旧写入请求不可用；Presence 不影响报名","陪玩","REQ-P0-PLAYER-01;SEL-01","GATE-P0-04","计划开发"
"INT-D-021","1.5","Discord","陪玩工作台/候选池列表","陪玩","ACTIVE、同 Guild 且标签匹配","getPlayerWorkbench","M11-US-01","只返回当前陪玩可见且仍可报名的候选池及本人现有报名","空状态显示无候选池；资格变化返回安全提示与支持入口","陪玩","REQ-P0-PLAYER-02;SEL-01","GATE-P0-04","计划开发"
"INT-D-022","1.5","Discord","候选池/查看完整要求","陪玩","当前可报名或已有本人报名","getPlayerWorkbench","M11-US-05","展示完整要求、结构化标签、备注和招募状态；派单阶段不展示预计收益，客户敏感信息脱敏","客户已终止招募或越权返回统一不可用提示","陪玩","REQ-P0-PLAYER-02;SEL-01","GATE-P0-04","计划开发"
"INT-D-023","1.5","Discord","陪玩私密工作台/撤回报名","陪玩","本人报名仍为 APPLIED 且候选池 COLLECTING","withdrawOrderSelectionApplication","M11-US-05","追加撤回事件并只影响本人本轮报名；触发客户订单 Embed 实时移除本人 mention；不影响其他候选或资金","重复撤回幂等；客户已终止招募时刷新列表","陪玩","REQ-P0-PLAYER-02;SEL-01","GATE-P0-04","计划开发"
"INT-D-024","1.5","Discord","候选池/确认报名","陪玩","候选池 COLLECTING；ACTIVE、同 Guild、标签匹配","applyToOrderSelectionPool","M11-US-05","创建本人报名并私密确认；触发客户订单 Embed 实时加入本人静默 mention；可同时报名多个订单；不创建正式参与人或活动订单占用","重复报名幂等；客户已终止招募或基础资格失效时显示私密刷新提示","陪玩","REQ-P0-PLAYER-02;REQ-P0-MATCH-01;SEL-01","GATE-P0-04;GATE-P0-03","计划开发"
"INT-D-025","1.0","Discord","陪玩工作台/当前订单","陪玩","存在本人活跃订单","getPlayerWorkbench","OpenAPI 现行合同","返回完整要求、频道、逐名陪玩 readiness、计时、完成动作、支持和收益摘要；客户无 readiness 动作","无当前单显示空状态；越权不泄露订单","陪玩","REQ-P0-PLAYER-01;REQ-P0-READY-01","GATE-P0-04;GATE-P0-05","现行合同"
"INT-D-026","0.7","Discord","陪玩工作台/创建支持任务","陪玩","资格、计时或订单需要帮助","createOrderStaffTask","OpenAPI v1.0 现行合同","创建或返回唯一陪玩支持任务","重复请求幂等；失败附 request_id","陪玩","REQ-P0-PLAYER-01;REQ-P0-SUPPORT-01","GATE-P0-04","计划开发"
"INT-D-027","0.7","Discord","陪玩工作台/支持进度","陪玩","存在本人支持任务","listCurrentUserStaffTasks","OpenAPI v1.0 现行合同","分页展示状态、认领、最近进展和下一步","空状态清晰；不返回内部备注","陪玩","REQ-P0-PLAYER-01;REQ-P0-SUPPORT-01","GATE-P0-04","计划开发"
"INT-D-028","0.7","Discord","陪玩工作台/收益明细","陪玩","已绑定 PlayerProfile","listCurrentPlayerEarnings","OpenAPI v1.0 现行合同","展示待确认、已确认、已发放和 Adjustment 追加记录","空状态；错误附 request_id；不提供自动提现","陪玩","REQ-P0-PLAYER-01","GATE-P0-04","计划开发"
"INT-D-029","0.7","Discord","陪玩当前订单/刷新收益摘要","陪玩","存在本人订单","getPlayerWorkbench","OpenAPI v1.0 现行合同","返回当前订单预计收益与本人汇总","估算不是已结算；错误附 calculatedAt 和 request_id","陪玩","REQ-P0-PLAYER-01","GATE-P0-04","计划开发"
"INT-D-030","0.7","Discord","订单面板/选择礼物","用户","ACCEPTED、IN_SERVICE、PENDING_CONFIRMATION 或完成后允许窗口","listGiftCatalog","M10 现行合同","展示全部启用礼物；affordable 仅提示，所有礼物按钮保持可点击；客户分页选择订单内有效陪玩明细 participantIds，真实接收人由 API 推导且不接受 receiverId","服务失败附 request_id；无礼物显示空状态；任一明细失效整批零写入","订单所有者","REQ-P0-GIFT-01;GIFT-02","AT-MULTI-005","已实现"
"INT-D-031","0.8","Discord","订单内送礼面板/检查并最终确认","用户","订单阶段允许、礼物启用、目标由订单固定","checkGiftAffordability;createOrderGiftRequest","M7 合同","选择后 API 原子读取内部 CAT 账本和本人全 Guild 活动预留；仅 canAfford 且当前 catalogVersion/price 再确认后创建礼物预留、请求和任务","不足只显示差额、联系客服充值、刷新、返回；目录变化回到重确认；并发不足零写入","订单所有者","M7-SPEC-§10;REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-032","0.7","Discord","送礼申请/撤回并释放预留","用户","礼物未捕获、未过期且允许撤回","cancelGiftRequest","OpenAPI v1.0 现行合同","礼物进入 CANCELLED 并原子释放预留","CONFLICT：已审批或已过期；释放失败转客服","礼物请求所有者","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-033","0.8","Discord","送礼余额不足/客服充值回流","用户","checkGiftAffordability 返回 canAfford=false","checkGiftAffordability","M7 合同","ephemeral 显示精确 shortfall、联系客服、刷新余额和返回礼物；HMAC 短 token 保留原 order/gift 快照","刷新仍不足保持面板；客服充值到账后可继续；零 GiftRequest/FundReservation/Consumption/Task/Outbox 写入","当前用户","M7-SPEC-§10;REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-034","0.7","Discord","客服卡片/认领任务","员工","任务 OPEN","claimStaffTask","现有","任务 CLAIMED 并记录认领人","CONFLICT：已被他人认领并刷新卡片","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-D-035","0.7","Discord","客服卡片/打开订单频道","员工","任务 scope 包含关联订单","getAdminOrder","OpenAPI v1.0 现行合同","返回有时效的频道链接并写审计","频道缺失或越权返回安全错误","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-D-036","0.7","Discord","客服卡片/加入订单语音","员工","任务已认领且语音频道存在","getStaffTask","OpenAPI v1.0 现行合同","返回语音频道链接并写审计","语音缺失提示改用文字频道或私聊","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-D-037","0.7","Discord","客服卡片/私聊用户","员工","任务已认领且联系方式可用","getStaffTask","OpenAPI v1.0 现行合同","打开受审计的私聊入口","联系方式不可用时提示改用订单频道","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-D-038","0.7","Discord","客服卡片/已核对提交审批","员工","任务由自己认领且核对记录完整","verifyStaffTask","现有","任务 VERIFIED；按金额和角色进入批准或审批路线","VALIDATION_ERROR：要求补充记录；CONFLICT：刷新任务","L1_SUPPORT","REQ-P0-GIFT-01;REQ-P0-RBAC-01","—","计划开发"
"INT-D-039","0.7","Discord","客服卡片/批准礼物并捕获","员工","礼物 VERIFIED、预留有效、金额在权限内","approveGiftRequest","现有","API 原子校验并捕获已有预留一次；礼物 CAPTURED；创建消费和 Outbox","APPROVAL_PENDING；余额变化或预留过期不捕获；未知结果禁重试","L2_SUPERVISOR（≤200000 CAT subunits）","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-040","0.7","Discord","客服卡片/拒绝礼物并释放","员工","礼物未捕获且已核对","rejectGiftRequest","现有","礼物 REJECTED；释放预留；通知用户；关闭任务","PERMISSION_DENIED、CONFLICT 或释放失败转异常","L2_SUPERVISOR","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-041","0.7","Discord","高额礼物/提交审批","员工","已核对，操作人具备礼物批准权限但金额超当前级别","approveGiftRequest","现有","业务 API 根据礼物、订单与预留事实返回 APPROVAL_PENDING、审批编号、required_level 和到期时间","重复提交返回现有审批；对象或预留变化要求重建","L2_SUPERVISOR","REQ-P0-RBAC-01;REQ-P0-GIFT-01","—","计划开发"
"INT-D-042","0.8","Discord","服务中心/刷新余额","用户","内部钱包已自动建立","getMyBalance","M9 现行合同","显示 ledgerBalanceMinor、reservedMinor、availableMinor、currency=CAT、calculatedAt","服务错误附 request_id；客户端不自行计算余额","用户","REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-043","0.7","Discord","服务中心/消费记录","用户","已绑定","listMyConsumptions","OpenAPI v1.0 现行合同","分页展示订单捕获、礼物捕获、释放、退款和 Adjustment","空数据；错误附 request_id","用户","REQ-P0-AUDIT-01","—","计划开发"
"INT-D-044","0.7","Discord","服务中心/我的收益","用户或陪玩","已绑定且当前用户为受益人","listMyCommissions","OpenAPI v1.0 现行合同","只展示当前用户作为受益人的收益；来源用户默认脱敏","空状态；永不返回用户的出向推荐关系或受益人信息","用户","REQ-P0-PRIVACY-01;REQ-P0-REFERRAL-01","—","计划开发"
"INT-D-045","0.7","Discord","服务中心/客服任务进度","用户","存在本人活动任务","listCurrentUserStaffTasks","OpenAPI v1.0 现行合同","展示任务状态、认领、最近进展和下一步，不含内部备注","404 使用统一无活动任务提示；错误附 request_id","用户","REQ-P0-SUPPORT-01","—","计划开发"
"INT-D-046","0.7","Discord","通用错误/安全重试原请求","用户或陪玩","请求超时且服务端声明可安全重试","local","OpenAPI v1.0 现行合同","复用原 idempotencyKey 返回同一业务结果，不重复预留、捕获或建任务","资金结果未知时先查询；不可重试时禁用并转客服","原请求权限","REQ-P0-SUPPORT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-A-001","0.7","Dashboard","登录后/加载能力","员工","Discord OAuth2 成功且 staff_account 有效","getMyCapabilities","OpenAPI v1.0 现行合同","返回四级 level、权限码、scope、阈值和 step-up 状态并裁剪导航","STAFF_ACCOUNT_REQUIRED；ROLE_ELEVATION_PENDING 保持旧级别","L1_SUPPORT","REQ-P0-RBAC-01","—","计划开发"
"INT-A-002","0.7","Dashboard","运营工作台/八项指标图表","员工","后台会话有效","getDashboardSummary","现有","按 scope 返回八项指标并同屏显示 KPI、资金构成条形图、派单成功率环图和待办健康度","401 跳转登录；错误附 request_id；金额、趋势和下钻数据不由前端补算","L1_SUPPORT","REQ-P0-DASH-01","—","已实现"
"INT-A-003","0.7","Dashboard","任务队列/筛选与刷新","员工","后台会话有效","listStaffTasks","现有","L1 个人、L2 团队、L3/L4 全局分页结果","空数据可清除筛选；403 不返回目标数据","L1_SUPPORT","REQ-P0-RBAC-01;REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-004","0.7","Dashboard","任务详情/打开","员工","对任务有 scope","getStaffTask","现有","展示脱敏上下文、预留、自动化、时间线、频道和可用动作","403 不泄露对象；404 使用统一不可用提示","L1_SUPPORT","REQ-P0-SUPPORT-01;REQ-P0-RBAC-01","—","计划开发"
"INT-A-005","0.7","Dashboard","任务详情/认领","员工","任务 OPEN","claimStaffTask","现有","任务 CLAIMED","CONFLICT：已被其他人员认领并刷新","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-006","0.7","Dashboard","任务详情/接管处理","员工","任务已认领或允许主管接管","claimStaffTask","OpenAPI v1.0 现行合同","记录当前处理人、接管理由和自动化状态","CONFLICT：任务已结案；越权提交审批或拒绝","L1_SUPPORT（本人任务）","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-007","0.7","Dashboard","任务或订单/暂停自动流程","员工","关键阶段允许暂停且任务已认领","pauseOrderAutomation","OpenAPI v1.0 现行合同","暂停下单后续、派单、取消或完成自动动作；保留预留和订单状态并写审计","重复暂停幂等；CONFLICT 刷新；不自动裁决资金","L1_SUPPORT（本人任务）","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-008","0.7","Dashboard","任务或订单/恢复自动流程","员工","自动化 PAUSED、阻塞条件已解除且选择明确 resumeAction","resumeOrderAutomation","OpenAPI v1.0 现行合同","按最新版本恢复 API 自动流程并记录操作者","条件未解除或版本变化返回 CONFLICT；不得跳过审批","L2_SUPERVISOR","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-009","0.7","Dashboard","任务详情/核对提交","员工","自己已认领且备注完整","verifyStaffTask","现有","任务 VERIFIED 并进入审批路线","VALIDATION_ERROR 或 CONFLICT","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-010","0.7","Dashboard","订单详情/打开与完整时间线","员工","具备订单读取 scope","getAdminOrder","M19/M10 合同","展示需求、逐名有效陪玩就绪、余额摘要、预留/交易/频道/人工动作完整时间线；不显示客户 readiness","403 不泄露数据；404 使用统一不可用提示","L1_SUPPORT","REQ-P0-AUDIT-01;REQ-P0-FUNDS-01","AT-STATE-003","开发中"
"INT-A-010A","1.5","Dashboard","订单列表/客服旁观选秀","员工","候选池已进入 SELECTION 且具备订单读取 scope","listOrderSelectionApplications","M11-US-01","查看报名人数、选秀阶段、客户与语音链接；客服可加入协助但不能代替客户自动终选","无权限不展示；Discord Role 不扩大业务 API scope","L1_SUPPORT","REQ-P0-ORDER-01;REQ-P0-AUDIT-01;SEL-02","AT-SEL-003","计划开发"
"INT-A-011","0.7","Dashboard","订单详情/打开 Discord","员工","具备订单读取 scope","getAdminOrder","OpenAPI v1.0 现行合同","返回受审计且有时效的订单频道链接","频道缺失或越权返回安全错误","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-012","0.7","Dashboard","订单详情/客服接管","员工","订单关键阶段允许人工接管","pauseOrderAutomation","OpenAPI v1.0 现行合同","记录接管人、范围、原因和恢复条件；不覆盖订单事实","越权返回 APPROVAL_PENDING；CONFLICT 刷新","L1_SUPPORT（本人任务）","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-013","1.5","Dashboard","订单详情/人工转派","员工","订单允许转派且目标陪玩符合资格","reassignOrder","现有","替换指定正式参与席位并同步频道权限、逐名 readiness 和时间线；不改变其他席位","L1 返回 APPROVAL_PENDING；目标不合格；CONFLICT 刷新","L2_SUPERVISOR","REQ-P0-AUTOMATION-01;ORD-04","—","现行合同"
"INT-A-014","0.7","Dashboard","订单详情/退款或释放","员工","存在可退款捕获或可释放预留且金额合法","refundOrder","现有","按事实追加退款交易；未捕获金额走释放，不覆盖原记录","L1 提交审批；超限升级；未知结果保持 EXCEPTION","L2_SUPERVISOR（≤50000 CAT subunits）","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","计划开发"
"INT-A-015","0.7","Dashboard","订单详情/异常结案","员工","原因码、捕获/释放分配、收益和证据完整","resolveOrder","现有","原子追加结案、部分捕获、释放、退款、收益 Adjustment 和审计","APPROVAL_PENDING；金额越界；CONFLICT；第三方结果未知","L2_SUPERVISOR（限额内）","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","计划开发"
"INT-A-016","0.7","Dashboard","用户详情/查看消费","员工","具备用户读取 scope","listAdminUserConsumptions","现有","分页展示订单、礼物、释放、退款与 Adjustment；推荐来源字段不返回","403；空数据；错误附 request_id","L1_SUPPORT","REQ-P0-PRIVACY-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-017","0.7","Dashboard","用户详情/添加风险标记","员工","用户存在且原因完整","createUserRiskFlag","现有","追加风险标记和审计，不自动暂停账户","L1 禁用；重复标记返回现有记录","L2_SUPERVISOR","REQ-P0-RBAC-01","—","计划开发"
"INT-A-018","0.7","Dashboard","用户详情/暂停账户","员工","用户 ACTIVE 且原因完整","setUserOperationalStatus","现有","用户进入 PAUSED；保留历史数据和审计","L1/L2 提交审批；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-RBAC-01","—","计划开发"
"INT-A-019","0.7","Dashboard","陪玩详情/编辑运营标签","员工","标签在配置集合内","updatePlayerOperationalTags","现有","更新派单标签并记录操作者","L1 禁用；VALIDATION_ERROR 标注无效标签","L2_SUPERVISOR","REQ-P0-PLAYER-01;REQ-P0-RBAC-01","GATE-P0-04","计划开发"
"INT-A-020","0.7","Dashboard","陪玩详情/暂停或恢复","员工","陪玩 ACTIVE 或 PAUSED 且无冲突","setPlayerOperationalStatus","现有","准入状态更新并影响派单资格","L1/L2 提交审批；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-PLAYER-01;REQ-P0-RBAC-01","GATE-P0-04","计划开发"
"INT-A-021","0.7","Dashboard","陪玩详情/审核通过","员工","陪玩 PENDING_REVIEW 且标签完整","approvePlayer","现有","陪玩 ACTIVE，可进入候选筛选","L1/L2 不可执行；校验失败保持原状态","L3_OPERATIONS","REQ-P0-PLAYER-01;REQ-P0-RBAC-01","GATE-P0-04","计划开发"
"INT-A-022","0.7","Dashboard","服务目录/新建版本","员工","双价格、单位和最低数量完整","createServiceCatalogVersion","现有","创建不可覆盖的新版本","价格不完整不得上架；L2 禁用","L3_OPERATIONS","REQ-P0-CATALOG-01","—","计划开发"
"INT-A-023","0.7","Dashboard","服务目录/上下架","员工","目标版本存在且 expectedVersion 匹配","updateServiceCatalogVersion","现有","状态更新；历史订单仍引用原快照","CONFLICT 刷新；下架不删除历史","L3_OPERATIONS","REQ-P0-CATALOG-01","—","计划开发"
"INT-A-024","0.7","Dashboard","礼物审批/查询","员工","具备任务或礼物读取 scope","listAdminGiftRequests","现有","展示预留状态、有效期、核对、捕获和播报状态","L1 仅核对；错误附 request_id","L1_SUPPORT","REQ-P0-GIFT-01;REQ-P0-RBAC-01","GATE-P0-02","计划开发"
"INT-A-025","0.7","Dashboard","礼物审批/批准并捕获","员工","VERIFIED、预留有效、余额复核通过、金额在权限内","approveGiftRequest","现有","捕获预留一次并进入 CAPTURED，创建消费和 Outbox","超权限返回 APPROVAL_PENDING；预留过期或余额变化不捕获","L2_SUPERVISOR（≤200000 CAT subunits）","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-A-026","0.7","Dashboard","失败播报/重试","员工","礼物 CAPTURED 且 Outbox FAILED","retryOutboxJob","OpenAPI v1.0 现行合同","只重试消息并更新 ANNOUNCED；不重复捕获","任务正在运行时返回 CONFLICT","L2_SUPERVISOR","REQ-P0-GIFT-01;REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-027","0.7","Dashboard","收益计划/查询事实","员工","具备收益读取 scope","listAdminCommissions","OpenAPI v1.0 现行合同","L3/L4 分页展示计划、受益人、脱敏来源、净基数、金额、状态和 Adjustment","L1 隐藏；L2 仅任务级有限结果且不返回受益人/金额","L2_SUPERVISOR（有限）","REQ-P0-REFERRAL-01;REQ-P0-PRIVACY-01","—","计划开发"
"INT-A-028","0.7","Dashboard","收益计划/绑定老板带新","员工","PROMOTER_FIRST_PURCHASE 资格通过且无有效来源","createReferralAttribution","OpenAPI v1.0 现行合同","创建唯一互斥关系；结算一次后永久结束","自荐、重复账号、绑定过晚或已存在来源拒绝并审计","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
"INT-A-029","0.7","Dashboard","收益计划/绑定陪玩来源","员工","PLAYER_LIFETIME 资格通过且无有效来源","createReferralAttribution","OpenAPI v1.0 现行合同","创建唯一互斥的长期陪玩来源关系","自荐、重复账号、冲突来源或资格不足拒绝并审计","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
"INT-A-030","0.7","Dashboard","PROMOTER_FIRST_PURCHASE/管理计划","员工","具备计划管理权限且 step-up 满足策略","updatePolicySetting","OpenAPI v1.0 现行合同","创建固定额或首笔净消费百分比的新配置版本","影响历史结算的修改被拒绝；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
