"item_id","item_type","milestone","epic_id","title","user_value","scope","dependencies","owner_type","estimate_person_days","acceptance_criteria","definition_of_done","master_spec_sections","api_operation_ids","critical_path","parallel_track","scope_exclusions","requirement_ids","delivery_status","target_release","evidence_refs","test_refs"
"EP-M2","EPIC","M2","EP-M2","陪玩准入、透明候选池与订单闭环","合格陪玩报名、客户选择正式阵容；全部陪玩准备后开始；自动流程可由客服暂停和接管。","陪玩准入/工作台、候选池报名、客户选秀、全陪玩准备、取消预览、客服暂停/恢复、退款、结案和转派。","EP-M1","product_tech_lead","40-66 (aggregate; do not sum with children)","正常单及异常单均可闭环；候选池过程透明；全部正式陪玩 READY 才开始；取消先预览；客服可暂停自动化且争议不自动裁决。","全部 M2 Story 验收通过；并发和异常 E2E 有可重复证据。","M11 补充合同;§3.3-3.4;§5;§6.3-6.5;§8;§11-12;§17.2","createOrderSelectionPool;applyToOrderSelectionPool;finalizeOrderSelectionPool;setOrderReadiness;requestOrderCompletion;confirmOrder;previewOrderCancellation;cancelOrder;createOrderStaffTask;refundOrder;resolveOrder;reassignOrder","yes","api_bot","不做预约、排班、候选评分排名或自动争议裁决。","PL-03;PL-04;PL-05;PL-06;OPS-01;SEL-01;NAME-03","PLANNED","P0","FLOW:selection-service-lifecycle;UI:player-workbench","AT-SEL-002;AT-RDY-001;AT-CXL-001"
"M2-US-01","USER_STORY","M2","EP-M2","陪玩准入、标签与 Presence 观测","用户候选池只接受内部已审批、同 Guild 且能力匹配的陪玩报名。","实现 player_profile 审核、游戏/服务标签和 Discord Presence 非授权观测；移除 AVAILABLE/BUSY 接单设置及其资格作用。","M0-US-03;M1-US-03","backend_bot","3-5","只有内部审批 ACTIVE、同 Guild 且标签匹配可报名；PENDING_REVIEW/PAUSED/SUSPENDED 不能报名；Presence 不影响通知、报名或最终选择。","资格、Role/Presence Listener 非授权边界和权限测试通过。","M11 补充合同;§5.1;§8.2;§11.1","approvePlayer;syncDiscordPresence;setPlayerOperationalStatus;updatePlayerOperationalTags","yes","api_bot","不做排班、自动技能评分或跨 Server Presence。","PL-04;SEL-01","PLANNED","P0","DB:player-profile;BOT:presence-observation","AT-DSP-001;AT-DSP-004;AT-WRK-002;AT-WRK-003;AT-SEL-002;AT-ROL-001"
"M2-US-02","USER_STORY","M2","EP-M2","候选池通知与报名卡片","符合条件的陪玩在集中频道收到清晰的选秀报名入口。","客户创建无时限候选池，经 Outbox 发布报名卡；陪玩报名或撤回只改变报名事实并实时刷新客户订单名单，不创建正式参与人。","M0-US-05;M1-US-05;M2-US-01","backend_bot","4-7","卡片只提供报名/撤回；发布失败可重试；仅客户手动终止进入选秀；事件重放不产生重复有效候选池或报名。","候选池、报名、Outbox、手动终止、Discord 渲染和重放测试通过。","M11 补充合同","createOrderSelectionPool;getOrder;applyToOrderSelectionPool;withdrawOrderSelectionApplication","yes","api_bot","不定时收口、自动选人、续轮、取消或实现候选评分。","PL-03;SEL-01","PLANNED","P0","API:selection-pools;BOT:selection-card","AT-DSP-002;AT-DSP-003;AT-SEL-001;AT-SEL-002;AT-SEL-007"
"M2-US-03","USER_STORY","M2","EP-M2","客户原子选择与订单频道入场","客户从候选池原子确认一个或多个正式陪玩，或显式放弃本轮候选重新等待报名。","实现最终选择时的活动订单约束、需求容量、订单/池/参与人原子写、跨池失效和频道权限同步；返回重选时重置候选组件，主动续轮时按池版本结束旧池并创建新池。","M2-US-02","backend_bot","3-5","任一所选人失效整次零写入；成功者成为正式参与人；部分席位保留；客户可在单候选确认后返回并再次选择，或主动放弃本轮候选开启新池；未入选者权限最终收敛；展示失败可重试且不回滚业务选择。","数据库并发、API 集成和 Discord E2E 通过。","M11 补充合同","finalizeOrderSelectionPool;createOrderSelectionPool;getOrder","yes","api_bot","不允许同一陪玩同时成为多个活动订单的正式参与者；不得自动续轮。","SEL-02;PL-03","PLANNED","P0","API:finalizeOrderSelectionPool;BOT:selection-permissions","AT-SEL-004;AT-SEL-005;AT-SEL-006"
"M2-US-04","USER_STORY","M2","EP-M2","全陪玩准备、申请完成与用户确认","用户和所有当前有效陪玩按合法顺序完成服务，客户不承担 readiness 操作。","实现逐人陪玩 READY、全员后 ACCEPTED→IN_SERVICE、申请完成、用户确认、Actor 归属、时间戳、面板动作和确认超时任务；客户 readiness 与旧 start 调用必须拒绝并审计。","M2-US-03;M0-US-05","fullstack_bot_api","3-5","仅全部当前有效陪玩 READY 后进入 IN_SERVICE；客户没有 readiness 写动作；非订单陪玩不能操作；非法迁移返回 409；确认超时只建任务，不自动完成或结算。","状态机、逐人 readiness、超时 Job 和三角色 Discord E2E 通过。","M10/M19 补充合同;§8.1;§10.3;§11.1;§12;§17.2","setOrderReadiness;requestOrderCompletion;confirmOrder","yes","api_bot","不做绕过其他有效陪玩的开始、自动确认、评价、加时或按分钟自动计时。","READY-02;NAME-03","PLANNED","P0","API:setOrderReadiness;BOT:readiness-panel","AT-RDY-001;AT-SVC-001;AT-SVC-002;AT-MULTI-003"
"M2-US-05","USER_STORY","M2","EP-M2","默认自动取消与异常客服任务","简单取消自动完成，接单后或异常场景保留客服判断空间。","实现 DRAFT 取消、待派单释放预留、已接单 CANCELLATION_ASSIST，以及迟到、缺席、中断、完成超时任务和风险事件。","M1-US-05;M2-US-03;M2-US-04;M0-US-05","backend_api","4-7","释放或退款确认前不显示 CANCELLED；失败进入 EXCEPTION 并建任务；超时规则只开任务不自动扣罚；重复触发不重复建活动任务。","取消、预留释放、退款、超时、风险和幂等集成测试通过；Bot 显示客服接管状态。","§3.4;§6.4-6.5;§8;§10.3-10.4;§11.1;§12;§17.2;§18","cancelOrder;createOrderStaffTask","yes","api_data","不自动裁决爽约、争议或服务中断，不自动扣罚陪玩。","OPS-01;FUND-02;PL-06","PLANNED","P0","API:cancelOrder;DB:staff-task","AT-CAN-001;AT-CAN-004;AT-SUP-001"
"M2-US-06","USER_STORY","M2","EP-M2","人工退款、结案与转派的原子用例","客服可在权限内处理复杂订单，资金、收益、状态和审计不会半完成。","实现 refundOrder/resolveOrder/reassignOrder、reason/evidence、金额等级路由、内部钱包业务退款、resolution、Adjustment、风险和不可篡改审计事务。","M0-US-03;M0-US-04;M2-US-05","backend_security","5-8","L1 仅建议；退款≤50000 由 L2、50001–499999 由 L3、≥500000 由 L4 直接执行；同一人可发起并执行；内部钱包贷记与业务事实同事务；无部分写入。","等级边界、同人发起并执行、原因、step-up/MFA、钱包失败、Adjustment 和事务回滚测试通过。","§5.2-5.4;§6.5;§9;§10.4-10.6;§12;§15;§17.2-17.4","refundOrder;resolveOrder;reassignOrder","yes","api_data","不硬删除、强制改状态或自动争议裁决。","OPS-01;ACCESS-01;REF-07;NAME-04","PLANNED","P0","API:resolveOrder;API:refundOrder;DB:order-resolution","AT-CAN-006;AT-CAN-009;AT-RBAC-004"
"M2-US-07","USER_STORY","M2","EP-M2","用户侧候选池进度透明","招募或选秀中的客户能看到当前阶段、报名陪玩名单和下一步。","提供候选池读模型：stage、applicationCount、applicantDiscordUserIds、nextStep；选秀阶段分页展示允许公开的候选资料。","M2-US-02;M2-US-03","fullstack_bot_api","3-5","阶段与当前有效报名者来自 API；客户订单 Embed 以静默 Discord mention 原位更新；零人时由客户选择重新招募、取消或联系客服；完整候选名单不对其他陪玩或公共频道泄露。","读模型、隐私、实时投影和 Bot 状态渲染测试通过。","M11 补充合同","getOrder;listOrderSelectionApplications","yes","api_bot","不展示内部评分、排名或审核原因。","PL-03;ARCH-01","PLANNED","P0","OPENAPI:getOrder;BOT:selection-status","AT-MAT-001;AT-SEL-001;AT-SEL-005;AT-SEL-007"
"M2-US-08","USER_STORY","M2","EP-M2","完整陪玩工作台","陪玩可在一个私密面板看清准入、候选池报名、正式订单、收益和下一动作。","聚合 qualification、currentOrder、selectionPools、applications、requirements、selectionStage、earningsSummary 和 allowedActions；Bot 仅渲染。","M2-US-01;M2-US-02;M2-US-03","fullstack_bot_api","4-7","不展示 ONLINE/AVAILABLE 接单状态或候选池倒计时；报名与正式订单不混淆；收益仅显示本人；所有动作由 API capabilities 返回。","工作台聚合、权限、加载/空/错/陈旧状态和 Discord E2E 通过。","M11 补充合同","getPlayerWorkbench;applyToOrderSelectionPool;withdrawOrderSelectionApplication","yes","api_bot","不做陪玩公开排名、试音材料或排班。","PL-04;ARCH-01;REF-05","PLANNED","P0","OPENAPI:getPlayerWorkbench;BOT:player-workbench","AT-PL-004;AT-WRK-001;AT-SEL-002"
"M2-US-09","USER_STORY","M2","EP-M2","逐名陪玩准备与超时转客服","客户只读查看进度，全部当前有效的正式陪玩分别确认本人 READY 后才开始；超时只进入客服队列。","为每名当前有效陪玩保存 readiness 与版本；最后一名 READY 原子迁移 IN_SERVICE；超时 Job 创建唯一客服任务；客户 readiness 和旧 start 调用必须拒绝并审计。","M2-US-03;M0-US-05","backend_bot","4-6","客户或前 N-1 名陪玩 READY 不开始；并发重放只迁移一次；超时创建一次任务且不计费；客服可查看逐名状态和原因。","并发状态机、逐名超时、Actor 归属、客户/旧调用拒绝和多角色 E2E 通过。","M10/M19 补充合同;§6.4;§8.1","setOrderReadiness;createOrderStaffTask;listCurrentUserStaffTasks","yes","api_bot","不允许客户 readiness、部分陪玩就绪就 start 或自动开始计费。","PL-05;NAME-03;OPS-01;READY-02","PLANNED","P0","API:setOrderReadiness;JOB:readiness-timeout","AT-RDY-001;AT-RDY-002;AT-RDY-003"
"M2-US-10","USER_STORY","M2","EP-M2","取消影响预览与原子执行","用户取消前能看清是否自动处理、释放或退款金额、方式和时间。","实现 previewOrderCancellation；cancelOrder 使用相同规则在事务内重验状态、版本、预留和内部钱包事实。","M1-US-08;M2-US-05","backend_api","3-5","预览返回 autoProcessable、releaseAmountMinor、refundAmountMinor、refundMethod、estimatedTiming 和需客服原因；执行时数据变化返回 409 并要求刷新；金额由 API 计算。","预览/执行一致性、并发变化、预留释放、内部钱包退款和 Bot 面板测试通过。","最新基线:启动前最优先六项(6);§3.4;§6.5;§10.3","previewOrderCancellation;cancelOrder","yes","api_data","不由 Bot 估算退款，不自动裁决已接单争议。","PL-06;FUND-02;ARCH-01","PLANNED","P0","API:previewOrderCancellation;UI:cancellation-preview","AT-CXL-001;AT-CAN-003;AT-CAN-008"
"M2-US-11","USER_STORY","M2","EP-M2","客服暂停、接管与恢复自动化","异常时客服可阻止自动动作，处理后恢复或转派且全程可审计。","实现订单 automationState、pause/resume、接管人、原因、范围、到期提示；暂停时派单/超时/自动取消 Job 安全跳过；支持重派和审批。","M2-US-05;M2-US-06","backend_ops","4-6","L1 可请求/在 scope 内接管但不能执行资金动作；L2+ 可按权限暂停恢复；重复 pause/resume 幂等；Worker 尊重最新版本；所有操作留审计。","权限、并发 Worker、超时、恢复、转派和 Dashboard/Bot 状态测试通过。","最新基线:P0产品边界(3);§3.4;§5;§6.5","pauseOrderAutomation;resumeOrderAutomation;createOrderStaffTask;reassignOrder;getStaffTask;resolveStaffTask","yes","api_dashboard","不提供绕过状态机的任意改状态功能。","OPS-01;OPS-02;ACCESS-02","PLANNED","P0","OPENAPI:pauseOrderAutomation;OPENAPI:resumeOrderAutomation","AT-SUP-005;AT-SUP-002"
"EP-M3","EPIC","M3","EP-M3","礼物、消费、收益与保密一级返佣","送礼先预留再核对批准；订单/礼物消费、陪玩收益和两种一级返佣可追溯。","礼物请求/预留/审批/捕获/播报、收益、PROMOTER_FIRST_PURCHASE、PLAYER_LIFETIME、保密查询和 Adjustment。","EP-M2","product_tech_lead","29-47 (aggregate; do not sum with children)","礼物完整走请求→预留→核对→批准→捕获→记账→播报；两种返佣互斥且来源用户不可见受益人信息；冲正只新增 Adjustment。","全部 M3 Story 验收通过；并发、支付重试、保密和返佣重放测试留证。","§3.5-3.6;§6.6-6.7;§8.2;§9-12;§16(M3);§17.3;最新基线:资金预留/返佣/礼物","createOrderGiftRequest;approveGiftRequest;rejectGiftRequest;listPlayerEarnings;updatePlayerEarning;listCurrentUserCommissions;listCommissions;updateCommission","yes","gift_finance","不做礼物动画、多级返佣、自动发放、自动提现或税务。","FUND-03;FUND-04;GIFT-01;GIFT-02;GIFT-03;GIFT-04;REF-01;REF-02;REF-03;REF-04;REF-05;REF-06;REF-07","PLANNED","P0","FLOW:gift-reservation-capture;MODEL:referral-programs","AT-RES-008;AT-RFP-005"
"M3-US-01","USER_STORY","M3","EP-M3","礼物目录与订单内送礼请求","用户可从关联订单选择礼物，确认后立即预留金额并进入客服核对。","实现礼物查询、状态/时间窗口校验、快照、目标从 order.player_id 推导、Gift FundReservation、GIFT_REVIEW 任务和 Bot 面板。","M2-US-03;M0-US-05","fullstack_bot_api","3-5","仅 ACCEPTED/IN_SERVICE/PENDING_CONFIRMATION 或 completed_at 后 24 小时内 COMPLETED 可请求；目标不可伪造；提交后预留且建任务。","四个状态、COMPLETED 24 小时边界、目标防伪、预留、任务、Bot 和隐私测试通过。","§3.5;§6.6;§7.3;§9;§10.4;§17.3;最新基线:礼物与客服","listGifts;createOrderGiftRequest;getCurrentBalance","yes","gift_flow","不做脱离订单送礼、匿名礼物或动画。","GIFT-01;FUND-03","PLANNED","P0","API:createOrderGiftRequest;DB:gift-reservation","AT-GFT-001;AT-GFT-003;AT-RES-008"
"M3-US-02","USER_STORY","M3","EP-M3","客服认领、核对与分级送礼执行","客服确认真实意愿，L1 不越权，高金额由正确等级执行。","实现唯一认领、内部备注、VERIFIED/待执行、拒绝、L2/L3/L4 金额策略、payload_hash 和执行凭据过期；展示预留状态和语音链接。","M3-US-01;M0-US-03;M2-US-06","backend_security","5-8","仅一人认领；L1 只能 claim/contact/verify/submit；礼物≤200000 由 L2、200001–499999 由 L3、≥500000 由 L4 直接执行；同一人可发起并执行；数据变化使执行凭据失效。","权限矩阵、等级边界、同人发起并执行、原因、step-up/MFA、并发认领、陈旧凭据、客服卡片和不可篡改审计测试通过。","§3.5;§5.2-5.6;§6.6;§8.2;§10.4-10.6;§15.2;§17.3-17.4","claimStaffTask;verifyStaffTask;approveGiftRequest;rejectGiftRequest","yes","api_data","L1 不执行资金动作；任何级别不绕过核对。","GIFT-02;GIFT-03;ACCESS-01;REF-06","PLANNED","P0","UI:support-gift-card;API:approveGiftRequest","AT-GFT-004;AT-GFT-005;AT-RBAC-003"
"M3-US-03","USER_STORY","M3","EP-M3","礼物捕获、消费记账与播报恢复","用户只支付一次，播报失败不影响送礼成功。","批准时捕获现有 Gift FundReservation，原子追加钱包扣款与 consumption；成功后 Outbox 播报，补发仅重试消息。","M3-US-02;M0-US-04;M0-US-05","integration_backend","4-6","重复批准最多捕获一次并产生一条原始消费；批准不新建第二预留；余额或预留失效不扣；播报失败不重扣且可补发。","内部钱包、数据库幂等、reservation capture、Outbox 和 Discord 播报 E2E 通过。","§3.5;§6.6;§8.2;§9;§11.1-11.3;§12;§17.3","approveGiftRequest;retryJob","yes","wallet_integration","不因播报失败退款或再次捕获，不做礼物动画。","FUND-03;GIFT-03;GIFT-04","PLANNED","P0","DB:gift-reservation-capture;OUTBOX:gift-broadcast","AT-GFT-006;AT-GFT-007;AT-WHK-002"
